"NetHack 3.7.0 (f58b7a8,2025/07/17)",namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob
,,,steam vortex,S_VORTEX,7,22,2,30,0,G_NOCORPSE|G_GENO|G_HELL|2,"ATTK(AT_ENGL,AD_FIRE,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE|MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,4,-,-,-,9,9,77,
,,,fire vortex,S_VORTEX,8,22,2,30,0,G_NOCORPSE|G_GENO|G_HELL|1,"ATTK(AT_ENGL,AD_FIRE,1,10)","ATTK(AT_NONE,AD_FIRE,0,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE|MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,11,-,-,-,10,10,110,
,,,baby long worm,S_WORM,5,3,5,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,250,MS_SILENT,MZ_LARGE,,,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,3,-,-,-,6,6,26,
,,,baby purple worm,S_WORM,8,3,5,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,250,MS_SILENT,MZ_LARGE,,,M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,5,-,-,-,9,9,65,
,,,long worm,S_WORM,9,3,5,10,0,G_GENO|2,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_SILENT,MZ_GIGANTIC,,,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG,,3,-,-,-,10,10,195,
,,,purple worm,S_WORM,15,9,6,20,0,G_GENO|2,"ATTK(AT_BITE,AD_PHYS,2,8)","ATTK(AT_ENGL,AD_DGST,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2700,700,MS_SILENT,MZ_GIGANTIC,,,M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG,,5,-,-,-,17,17,399,
,,,grid bug,S_XAN,0,12,9,0,0,G_NOCORPSE|G_GENO|G_SGROUP|3,"ATTK(AT_BITE,AD_ELEC,1,1)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,15,10,MS_BUZZ,MZ_TINY,MR_ELEC|MR_POISON,,M1_NOHANDS|M1_ANIMAL,M2_HOSTILE,M3_INFRAVISIBLE,5,-,-,-,1,1,1,
,,,xan,S_XAN,7,18,-4,0,0,G_GENO|3,"ATTK(AT_STNG,AD_LEGS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,300,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_POIS,M2_HOSTILE,M3_INFRAVISIBLE,1,-,POISON=100|-,-,9,9,85,MR_POISON=47
,,,yellow light,S_LIGHT,3,15,0,0,0,G_NOCORPSE|G_GENO|4,"ATTK(AT_EXPL,AD_BLND,10,20)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_SMALL,MR_FIRE|MR_COLD|MR_SLEEP|MR_DISINT|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,,M1_FLY|M1_AMORPHOUS|M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,11,-,STUN=100|-,-,5,5,29,
,,,black light,S_LIGHT,5,15,0,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_EXPL,AD_HALU,10,12)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_SMALL,MR_FIRE|MR_COLD|MR_SLEEP|MR_DISINT|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,,M1_FLY|M1_AMORPHOUS|M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID|M1_SEE_INVIS,M2_NEUTER|M2_HOSTILE,,0,-,HALLU=100|-,-,7,7,49,
,,,zruty,S_ZRUTY,9,8,3,0,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,3,4)","ATTK(AT_CLAW,AD_PHYS,3,4)","ATTK(AT_BITE,AD_PHYS,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,1200,600,MS_SILENT,MZ_LARGE,,,M1_HUMANOID|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,11,11,132,
,,,couatl,S_ANGEL,8,10,5,30,7,G_NOCORPSE|G_SGROUP|G_NOHELL|1,"ATTK(AT_BITE,AD_DRST,2,4)","ATTK(AT_BITE,AD_PHYS,1,3)","ATTK(AT_HUGS,AD_WRAP,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,900,400,MS_HISS,MZ_LARGE,MR_POISON,,M1_FLY|M1_NOHANDS|M1_SLITHY|M1_POIS,M2_MINION|M2_STALK|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,2,-,POISON=100|-,-,11,11,148,
,,,Aleax,S_ANGEL,10,8,0,30,7,G_NOCORPSE|G_NOHELL|1,"ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_KICK,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,1450,400,MS_IMITATE,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON,,M1_HUMANOID|M1_SEE_INVIS,M2_MINION|M2_STALK|M2_NASTY|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,11,-,-,-,12,12,238,
,,,Angel,S_ANGEL,14,10,-4,55,12,G_NOCORPSE|G_NOHELL|1,"ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_MAGC,AD_MAGM,2,6)",NO_ATTK,NO_ATTK,1450,400,MS_CUSS,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON,,M1_FLY|M1_HUMANOID|M1_SEE_INVIS,M2_NOPOLY|M2_MINION|M2_STALK|M2_NASTY|M2_STRONG|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,15,PW=66;22;1|-,-,-,19,19,415,
,,,ki-rin,S_ANGEL,16,18,-5,90,15,G_NOCORPSE|G_NOHELL|1,"ATTK(AT_KICK,AD_PHYS,2,4)","ATTK(AT_KICK,AD_PHYS,2,4)","ATTK(AT_BUTT,AD_PHYS,3,6)","ATTK(AT_MAGC,AD_SPEL,2,6)",NO_ATTK,NO_ATTK,1450,400,MS_SPELL,MZ_LARGE,MR_POISON,,M1_FLY|M1_NOHANDS|M1_SEE_INVIS,M2_NOPOLY|M2_LORD|M2_MINION|M2_STALK|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,11,PW=66;22;1|-,-,-,21,21,472,
,,,Archon,S_ANGEL,19,16,-6,80,15,G_NOCORPSE|G_NOHELL|1,"ATTK(AT_WEAP,AD_PHYS,2,4)","ATTK(AT_WEAP,AD_PHYS,2,4)","ATTK(AT_GAZE,AD_BLND,2,6)","ATTK(AT_CLAW,AD_PHYS,1,8)","ATTK(AT_MAGC,AD_SPEL,4,6)",NO_ATTK,1450,400,MS_CUSS,MZ_LARGE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON,,M1_FLY|M1_HUMANOID|M1_REGEN|M1_SEE_INVIS,M2_NOPOLY|M2_LORD|M2_MINION|M2_STALK|M2_NASTY|M2_STRONG|M2_COLLECT|M2_MAGIC,M3_INFRAVISION|M3_INFRAVISIBLE,5,PW=66;22;1|-,-,-,26,26,654,
,,,bat,S_BAT,0,22,8,0,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,20,MS_SQEEK,MZ_TINY,,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_WANDER,M3_INFRAVISIBLE,3,-,STUN=100|-,-,2,2,6,
,,,giant bat,S_BAT,2,22,7,0,0,G_GENO|2,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SQEEK,MZ_SMALL,,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_WANDER,M3_INFRAVISIBLE,1,-,STUN=100|-,-,3,3,10,
,,,raven,S_BAT,4,20,6,0,0,G_GENO|2,"ATTK(AT_BITE,AD_PHYS,1,6)","ATTK(AT_CLAW,AD_BLND,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,40,20,MS_SQAWK,MZ_SMALL,,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE|M2_WANDER,M3_INFRAVISIBLE,0,-,-,-,6,6,26,
,,,vampire bat,S_BAT,5,20,6,0,0,G_GENO|2,"ATTK(AT_BITE,AD_PHYS,1,6)","ATTK(AT_BITE,AD_DRST,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,20,MS_SQEEK,MZ_SMALL,MR_SLEEP|MR_POISON,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_REGEN|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,0,-,POISON=100|-,-,7,7,41,
,,,plains centaur,S_CENTAUR,4,18,4,0,0,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2500,500,MS_HUMANOID,MZ_LARGE,,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG|M2_GREEDY|M2_COLLECT,M3_INFRAVISIBLE,3,-,-,-,6,6,25,
,,,forest centaur,S_CENTAUR,5,18,3,10,-1,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,1,8)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2550,600,MS_HUMANOID,MZ_LARGE,,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG|M2_GREEDY|M2_COLLECT,M3_INFRAVISIBLE,2,-,-,-,8,7,34,
,,,mountain centaur,S_CENTAUR,6,20,2,10,-3,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,1,10)","ATTK(AT_KICK,AD_PHYS,1,6)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,2550,500,MS_HUMANOID,MZ_LARGE,,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG|M2_GREEDY|M2_COLLECT,M3_INFRAVISIBLE,6,-,-,-,9,9,52,
,,,baby gray dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,,7,-,-,-,13,13,200,
,,,baby gold dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,M3_INFRAVISIBLE,11,-,-,-,13,13,200,
,,,baby silver dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,,14,-,-,-,13,13,200,
,,,baby red dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,MR_FIRE,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,M3_INFRAVISIBLE,1,-,-,-,13,13,200,
,,,baby white dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,MR_COLD,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,,15,-,-,-,13,13,200,
,,,baby orange dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,MR_SLEEP,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,,9,-,-,-,13,13,200,
,,,baby black dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,MR_DISINT,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,,0,-,-,-,13,13,200,
,,,baby blue dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,MR_ELEC,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,,4,-,-,-,13,13,200,
,,,baby green dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,MR_POISON,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_POIS|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,,2,-,POISON=100|-,-,13,13,200,
,,,baby yellow dragon,S_DRAGON,12,9,2,10,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_ROAR,MZ_HUGE,MR_ACID|MR_STONE,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_ACID|M1_CARNIVORE,M2_HOSTILE|M2_STRONG|M2_GREEDY|M2_JEWELS,,11,UNSTONE=100|-,ACID=100|-,-,13,13,200,
,,,gray dragon,S_DRAGON,15,9,-1,20,4,G_GENO|1,"ATTK(AT_BREA,AD_MAGM,4,6)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,,7,-,-,-,20,20,460,
,,,gold dragon,S_DRAGON,15,9,-1,20,4,G_GENO|1,"ATTK(AT_BREA,AD_FIRE,4,6)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,MR_FIRE,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,M3_INFRAVISIBLE,11,-,-,-,20,20,460,
,,,silver dragon,S_DRAGON,15,9,-1,20,4,G_GENO|1,"ATTK(AT_BREA,AD_COLD,4,6)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,MR_COLD,,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,,14,-,-,-,20,20,460,
,,,red dragon,S_DRAGON,15,9,-1,20,-4,G_GENO|1,"ATTK(AT_BREA,AD_FIRE,6,6)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,MR_FIRE,MR_FIRE,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,M3_INFRAVISION|M3_INFRAVISIBLE,1,-,-,-,20,20,460,MR_FIRE=100
,,,white dragon,S_DRAGON,15,9,-1,20,-5,G_GENO|1,"ATTK(AT_BREA,AD_COLD,4,6)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,MR_COLD,MR_COLD,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,,15,-,-,-,20,20,460,MR_COLD=100
,,,orange dragon,S_DRAGON,15,9,-1,20,5,G_GENO|1,"ATTK(AT_BREA,AD_SLEE,4,25)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,MR_SLEEP,MR_SLEEP,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,,9,-,-,-,20,20,460,MR_SLEEP=100
,,,black dragon,S_DRAGON,15,9,-1,20,-6,G_GENO|1,"ATTK(AT_BREA,AD_DISN,1,255)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,MR_DISINT,MR_DISINT,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,,0,-,-,-,20,20,460,MR_DISINT=100
,,,blue dragon,S_DRAGON,15,9,-1,20,-7,G_GENO|1,"ATTK(AT_BREA,AD_ELEC,4,6)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,MR_ELEC,MR_ELEC,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,,4,-,-,-,20,20,460,MR_ELEC=100
,,,green dragon,S_DRAGON,15,9,-1,20,6,G_GENO|1,"ATTK(AT_BREA,AD_DRST,4,6)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_POIS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,,2,-,POISON=100|-,-,20,20,460,MR_POISON=100
,,,yellow dragon,S_DRAGON,15,9,-1,20,7,G_GENO|1,"ATTK(AT_BREA,AD_ACID,4,6)","ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,4500,1500,MS_ROAR,MZ_GIGANTIC,MR_ACID|MR_STONE,MR_ACID|MR_STONE,M1_FLY|M1_NOHANDS|M1_THICK_HIDE|M1_OVIPAROUS|M1_SEE_INVIS|M1_ACID|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,,11,UNSTONE=100|-,ACID=100|-,-,20,20,460,MR_ACID=100|MR_STONE=100
,,,stalker,S_ELEMENTAL,8,12,3,0,0,G_GENO|3,"ATTK(AT_CLAW,AD_PHYS,4,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,900,400,MS_SILENT,MZ_LARGE,,,M1_FLY|M1_ANIMAL|M1_SEE_INVIS,M2_HOSTILE|M2_WANDER|M2_STALK|M2_STRONG,M3_INFRAVISION,15,INVIS=100|SEE_INVIS=100|-,STUN=100|-,-,9,9,65,
,,,air elemental,S_ELEMENTAL,8,36,2,30,0,G_NOCORPSE|1,"ATTK(AT_ENGL,AD_PHYS,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_STRONG,,6,-,-,-,10,10,78,
,,,fire elemental,S_ELEMENTAL,8,12,2,30,0,G_NOCORPSE|1,"ATTK(AT_CLAW,AD_FIRE,3,6)","ATTK(AT_NONE,AD_FIRE,0,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_STRONG,M3_INFRAVISIBLE,11,-,-,-,10,10,102,
,,,earth elemental,S_ELEMENTAL,8,6,2,30,0,G_NOCORPSE|1,"ATTK(AT_CLAW,AD_PHYS,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2500,0,MS_SILENT,MZ_HUGE,MR_FIRE|MR_COLD|MR_POISON|MR_STONE,,M1_WALLWALK|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_THICK_HIDE,M2_NEUTER|M2_STRONG,,3,-,-,-,10,10,78,
,,,water elemental,S_ELEMENTAL,8,6,2,30,0,G_NOCORPSE|1,"ATTK(AT_CLAW,AD_PHYS,5,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2500,0,MS_SILENT,MZ_HUGE,MR_POISON|MR_STONE,,M1_SWIM|M1_AMPHIBIOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_STRONG,,4,-,-,-,10,10,78,
,,,lichen,S_FUNGUS,0,1,9,0,0,G_GENO|4,"ATTK(AT_TUCH,AD_STCK,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,200,MS_SILENT,MZ_SMALL,,,M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,,10,-,-,-,1,1,4,
,,,brown mold,S_FUNGUS,1,0,9,0,0,G_GENO|1,"ATTK(AT_NONE,AD_COLD,0,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,30,MS_SILENT,MZ_SMALL,MR_COLD|MR_POISON,MR_COLD|MR_POISON,M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,,3,-,-,-,2,2,4,MR_COLD= 7|MR_POISON= 7
