index,namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob,Flags 4,MH
,,,ettin mummy,S_MUMMY,7,12,4,30,-6,G_NOCORPSE|G_GENO|1,"ATTK(AT_CLAW,AD_WTHR,2,6)","ATTK(AT_CLAW,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1700,250,MS_SILENT,MZ_HUGE,MR_COLD|MR_SLEEP|MR_POISON,,M1_BREATHLESS|M1_MINDLESS|M1_HUMANOID|M1_POIS,M2_HOSTILE|M2_STRONG,M3_INFRAVISION,4,-,POISON=100|-,-,8,9,57,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,giant mummy,S_MUMMY,8,14,3,30,-7,G_NOCORPSE|G_GENO|1,"ATTK(AT_CLAW,AD_WTHR,3,4)","ATTK(AT_CLAW,AD_CLOB,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2050,375,MS_SILENT,MZ_HUGE,MR_COLD|MR_SLEEP|MR_POISON,,M1_BREATHLESS|M1_MINDLESS|M1_HUMANOID|M1_POIS,M2_HOSTILE|M2_STRONG|M2_JEWELS,M3_INFRAVISION,6,-,POISON=100|GIANT=100|-,-,10,10,84,,M4_VULNERABLE_FIRE,MH_GIANT|MH_UNZOMBIE,
,,,red naga hatchling,S_NAGA,3,10,6,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,100,MS_MUMBLE,MZ_LARGE,MR_FIRE|MR_POISON,MR_FIRE|MR_POISON,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_SLITHY|M1_THICK_HIDE|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG,M3_INFRAVISIBLE,1,-,-,-,4,4,10,MR_FIRE=+5|MR_POISON=+5,M4_VULNERABLE_COLD,,
,,,black naga hatchling,S_NAGA,3,10,6,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,100,MS_MUMBLE,MZ_LARGE,MR_POISON|MR_ACID|MR_STONE,MR_POISON|MR_STONE,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_SLITHY|M1_THICK_HIDE|M1_ACID|M1_CARNIVORE,M2_STRONG,,0,UNSTONE=100|-,ACID=100|-,-,4,4,10,MR_POISON=+5|MR_STONE=+5,,,
,,,golden naga hatchling,S_NAGA,3,10,6,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,100,MS_MUMBLE,MZ_LARGE,MR_POISON,MR_POISON,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_SLITHY|M1_THICK_HIDE|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG,,11,-,-,-,4,4,10,MR_POISON=+5,,,
,,,guardian naga hatchling,S_NAGA,3,10,6,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,100,MS_MUMBLE,MZ_LARGE,MR_POISON,MR_POISON,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_SLITHY|M1_THICK_HIDE|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG,,2,-,-,-,4,4,10,MR_POISON=+5,,,
,,,red naga,S_NAGA,6,12,4,0,-4,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,2,4)","ATTK(AT_BREA,AD_FIRE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2600,400,MS_MUMBLE,MZ_HUGE,MR_FIRE|MR_POISON,MR_FIRE|MR_POISON,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_SLITHY|M1_THICK_HIDE|M1_OVIPAROUS|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG,M3_INFRAVISIBLE,1,-,-,-,8,8,52,MR_FIRE=+28|MR_POISON=+28,M4_VULNERABLE_COLD,,
,,,black naga,S_NAGA,8,14,2,10,4,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_SPIT,AD_LAVA,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2600,400,MS_MUMBLE,MZ_HUGE,MR_POISON|MR_ACID|MR_STONE,MR_POISON|MR_STONE,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_SLITHY|M1_THICK_HIDE|M1_OVIPAROUS|M1_ACID|M1_CARNIVORE,M2_STRONG,,0,UNSTONE=100|-,ACID=100|-,-,10,10,92,MR_POISON=+28|MR_STONE=+28,,,
,,,golden naga,S_NAGA,10,14,2,70,5,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_MAGC,AD_SPEL,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2600,400,MS_MUMBLE,MZ_HUGE,MR_POISON,MR_POISON,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_SLITHY|M1_THICK_HIDE|M1_OVIPAROUS|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG,,11,-,-,-,13,13,189,MR_POISON=+28,,,
,,,guardian naga,S_NAGA,12,16,0,50,7,G_GENO|1,"ATTK(AT_BITE,AD_DRLI,1,6)","ATTK(AT_SPIT,AD_DRST,1,6)","ATTK(AT_HUGS,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,2600,400,MS_MUMBLE,MZ_HUGE,MR_POISON,MR_POISON,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_SLITHY|M1_THICK_HIDE|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG,,2,-,POISON=100|-,-,16,16,247,MR_POISON=+28,,,
,,,ogre,S_OGRE,5,10,5,0,-3,G_GENO|G_SGROUP|1,"ATTK(AT_WEAP,AD_PHYS,2,5)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1600,500,MS_GRUNT,MZ_LARGE,,,M1_HUMANOID|M1_CARNIVORE,M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE|M3_BERSERK,3,-,-,-,7,7,31,,,MH_OGRE,
,,,ogre noble,S_OGRE,7,12,3,30,-5,G_GENO|2,"ATTK(AT_WEAP,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1700,700,MS_GRUNT,MZ_LARGE,,,M1_HUMANOID|M1_CARNIVORE,M2_MERC|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,1,-,-,-,9,9,55,,,MH_OGRE,
,,,ogre royal,S_OGRE,9,14,4,60,-7,G_GENO|2,"ATTK(AT_WEAP,AD_CLOB,3,5)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1700,750,MS_GRUNT,MZ_LARGE,,,M1_HUMANOID|M1_CARNIVORE,M2_LORD|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE|M3_ACCURATE,5,-,-,-,11,11,149,,,MH_OGRE,
,,,gray ooze,S_PUDDING,3,1,8,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_BITE,AD_RUST,2,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_SILENT,MZ_MEDIUM,MR_FIRE|MR_COLD|MR_POISON|MR_ACID|MR_STONE,MR_FIRE|MR_COLD|MR_POISON,M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID|M1_CARNIVORE|M1_HERBIVORE,M2_NEUTER|M2_HOSTILE,,7,UNSTONE=100|-,ACID=100|-,-,4,4,13,MR_FIRE=+5|MR_COLD=+5|MR_POISON=+5,M4_VULNERABLE_ELEC,,
,,,brown pudding,S_PUDDING,5,3,8,0,0,G_NOCORPSE|G_GENO|1,"ATTK(AT_BITE,AD_DCAY,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_SILENT,MZ_MEDIUM,MR_COLD|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,MR_COLD|MR_ELEC|MR_POISON,M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID|M1_CARNIVORE|M1_HERBIVORE,M2_NEUTER|M2_HOSTILE,,3,UNSTONE=100|-,ACID=100|-,-,6,6,31,MR_COLD=+5|MR_ELEC=+5|MR_POISON=+5,M4_VULNERABLE_FIRE,,
,,,green slime,S_PUDDING,6,6,6,0,0,G_NOCORPSE|G_GENO|G_HELL|1,"ATTK(AT_TUCH,AD_SLIM,1,4)","ATTK(AT_ENGL,AD_SLIM,2,4)","ATTK(AT_NONE,AD_SLIM,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,400,150,MS_SILENT,MZ_LARGE,MR_COLD|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,,M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_NEUTER|M2_HOSTILE,,2,UNSTONE=100|-,SLIME=100|ACID=100|POISON=100|-,-,8,8,193,,M4_VULNERABLE_FIRE,,
,,,black pudding,S_PUDDING,10,6,6,0,0,G_NOCORPSE|G_GENO|1,"ATTK(AT_BITE,AD_CORR,3,8)","ATTK(AT_NONE,AD_CORR,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,900,250,MS_SILENT,MZ_LARGE,MR_COLD|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,MR_COLD|MR_ELEC|MR_POISON,M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID|M1_CARNIVORE|M1_HERBIVORE,M2_NEUTER|M2_HOSTILE,,0,UNSTONE=100|-,ACID=100|-,-,12,12,181,MR_COLD=+10|MR_ELEC=+10|MR_POISON=+10,M4_VULNERABLE_FIRE,,
,,,quantum mechanic,S_QUANTMECH,7,12,3,10,0,G_GENO|3,"ATTK(AT_CLAW,AD_TLPT,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1450,20,MS_HUMANOID,MZ_MEDIUM,MR_POISON,,M1_HUMANOID|M1_TPORT|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,6,TOGGLE=100|-,POISON=100|-,-,9,9,57,M1_TPORT=!20,,,
,,,genetic engineer,S_QUANTMECH,12,12,3,10,0,G_GENO|1,"ATTK(AT_CLAW,AD_POLY,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1450,20,MS_HUMANOID,MZ_MEDIUM,MR_POISON,,M1_HUMANOID|M1_TPORT|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE|M2_NASTY,M3_INFRAVISIBLE,2,POLYSELF=100|-,POISON=100|-,-,14,14,291,M1_TPORT=!20,,,
,,,rust monster,S_RUSTMONST,5,18,2,0,0,G_GENO|2,"ATTK(AT_TUCH,AD_RUST,0,0)","ATTK(AT_TUCH,AD_RUST,0,0)","ATTK(AT_NONE,AD_RUST,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,1000,250,MS_SILENT,MZ_MEDIUM,,,M1_SWIM|M1_NOHANDS|M1_ANIMAL|M1_METALLIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,8,8,55,,,,
,,,disenchanter,S_RUSTMONST,12,12,-10,0,-3,G_GENO|G_HELL|2,"ATTK(AT_CLAW,AD_ENCH,4,4)","ATTK(AT_NONE,AD_ENCH,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,750,200,MS_GROWL,MZ_LARGE,,,M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,4,-,CURSE_ATTR=100|-,-,14,14,253,,,,
,,,garter snake,S_SNAKE,1,8,8,0,0,G_GENO|G_LGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,60,MS_HISS,MZ_TINY,,,M1_SWIM|M1_CONCEAL|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,,,2,-,-,-,3,3,2,,,,
,,,snake,S_SNAKE,4,15,3,0,0,G_GENO|2,"ATTK(AT_BITE,AD_DRST,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,80,MS_HISS,MZ_SMALL,MR_POISON,MR_POISON,M1_SWIM|M1_CONCEAL|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,3,-,POISON=100|-,-,6,6,28,MR_POISON=+5,,,
,,,water moccasin,S_SNAKE,4,15,3,0,0,G_GENO|G_LGROUP|G_NOGEN|0,"ATTK(AT_BITE,AD_DRST,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,80,MS_HISS,MZ_SMALL,MR_POISON,MR_POISON,M1_SWIM|M1_CONCEAL|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,1,-,POISON=100|-,-,7,7,28,MR_POISON=+5,,,
,,,python,S_SNAKE,6,3,5,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,4)","ATTK(AT_TUCH,AD_PHYS,0,0)","ATTK(AT_HUGS,AD_WRAP,1,4)","ATTK(AT_HUGS,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,250,100,MS_HISS,MZ_LARGE,,,M1_SWIM|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISION,5,-,-,-,8,8,52,,,,
,,,pit viper,S_SNAKE,6,15,2,0,0,G_GENO|1,"ATTK(AT_BITE,AD_DRST,1,4)","ATTK(AT_BITE,AD_DRST,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,60,MS_HISS,MZ_MEDIUM,MR_POISON,MR_POISON,M1_SWIM|M1_CONCEAL|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISION,4,-,POISON=100|-,-,9,9,69,MR_POISON=+5,,,
,,,cobra,S_SNAKE,6,18,2,0,0,G_GENO|1,"ATTK(AT_BITE,AD_DRST,2,4)","ATTK(AT_SPIT,AD_SLOW,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,250,100,MS_HISS,MZ_MEDIUM,MR_POISON,MR_POISON,M1_SWIM|M1_CONCEAL|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,M3_ACCURATE,4,-,POISON=100|-,-,10,10,66,MR_POISON=+5,,,
,,,giant anaconda,S_SNAKE,10,6,2,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_HUGS,AD_PHYS,4,6)","ATTK(AT_ENGL,AD_DGST,3,6)",NO_ATTK,NO_ATTK,1600,400,MS_HISS,MZ_HUGE,,,M1_SWIM|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,M2_DRUID_FORM_C|M2_HOSTILE|M2_STRONG,M3_INFRAVISION,10,-,-,-,13,13,182,,,,
,,,troll,S_TROLL,7,12,4,0,-3,G_GENO|2,"ATTK(AT_WEAP,AD_PHYS,4,2)","ATTK(AT_CLAW,AD_PHYS,4,2)","ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,800,350,MS_GRUNT,MZ_LARGE,,,M1_HUMANOID|M1_REGEN|M1_CARNIVORE,M2_HOSTILE|M2_STALK|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,3,-,-,-,9,9,55,,,MH_TROLL,
,,,ice troll,S_TROLL,9,10,2,20,-3,G_GENO|G_NOHELL|1,"ATTK(AT_WEAP,AD_PHYS,2,6)","ATTK(AT_CLAW,AD_COLD,2,6)","ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1000,300,MS_GRUNT,MZ_LARGE,MR_COLD,MR_COLD,M1_HUMANOID|M1_REGEN|M1_CARNIVORE,M2_HOSTILE|M2_STALK|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,15,-,-,-,12,12,160,MR_COLD=+11,M4_VULNERABLE_FIRE,MH_TROLL,
,,,rock troll,S_TROLL,9,12,0,0,-3,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,3,6)","ATTK(AT_CLAW,AD_PHYS,2,8)","ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1200,300,MS_GRUNT,MZ_LARGE,,,M1_HUMANOID|M1_REGEN|M1_CARNIVORE,M2_HOSTILE|M2_STALK|M2_STRONG|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,6,-,-,-,12,12,144,,,MH_TROLL,
,,,water troll,S_TROLL,11,14,4,40,-3,G_GENO|G_NOGEN|0,"ATTK(AT_WEAP,AD_PHYS,2,8)","ATTK(AT_CLAW,AD_PHYS,2,8)","ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1200,350,MS_GRUNT,MZ_LARGE,,,M1_SWIM|M1_HUMANOID|M1_REGEN|M1_CARNIVORE,M2_HOSTILE|M2_STALK|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,4,-,-,-,13,13,180,,M4_VULNERABLE_ELEC,MH_TROLL,
,,,Olog-hai,S_TROLL,13,12,-4,0,-7,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,3,6)","ATTK(AT_CLAW,AD_PHYS,2,8)","ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1500,400,MS_GRUNT,MZ_LARGE,,,M1_HUMANOID|M1_REGEN|M1_CARNIVORE,M2_HOSTILE|M2_STALK|M2_STRONG|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE|M3_ACCURATE,5,-,-,-,16,16,247,,,MH_TROLL,
,,,umber hulk,S_UMBER,9,6,2,25,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,3,4)","ATTK(AT_CLAW,AD_PHYS,3,4)","ATTK(AT_BITE,AD_PHYS,2,5)","ATTK(AT_GAZE,AD_CONF,3,4)",NO_ATTK,NO_ATTK,1200,500,MS_SILENT,MZ_LARGE,,,M1_TUNNEL|M1_CARNIVORE,M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,12,12,149,,,,
,,,shambling horror,S_UMBER,12,12,0,0,0,G_NOCORPSE|1,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,25,25,MS_SILENT,MZ_TINY,,,M1_CARNIVORE,M2_NOPOLY|M2_HOSTILE,,14,-,-,-,15,13,202,,,,
,,,vampire,S_VAMPIRE,10,12,1,25,-8,G_NOCORPSE|G_GENO|G_VLAD|1,"ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_BITE,AD_SPC1,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1450,400,MS_VAMPIRE,MZ_MEDIUM,MR_SLEEP|MR_POISON,,M1_FLY|M1_BREATHLESS|M1_HUMANOID|M1_REGEN|M1_POIS,M2_GIANT|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG,M3_INFRAVISIBLE,1,-,POISON=100|-,-,12,13,252,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,vampire noble,S_VAMPIRE,12,14,0,50,-9,G_NOCORPSE|G_GENO|G_VLAD|1,"ATTK(AT_WEAP,AD_PHYS,1,8)","ATTK(AT_BITE,AD_SPC1,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1450,400,MS_VAMPIRE,MZ_MEDIUM,MR_SLEEP|MR_POISON,,M1_FLY|M1_BREATHLESS|M1_HUMANOID|M1_REGEN|M1_POIS,M2_MERC|M2_GIANT|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG,M3_INFRAVISIBLE,4,-,POISON=100|-,-,14,15,318,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,vampire royal,S_VAMPIRE,16,18,-2,50,-9,G_NOCORPSE|G_GENO|G_VLAD|1,"ATTK(AT_WEAP,AD_PHYS,2,6)","ATTK(AT_BITE,AD_SPC1,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1450,400,MS_VAMPIRE,MZ_MEDIUM,MR_SLEEP|MR_POISON,,M1_FLY|M1_BREATHLESS|M1_HUMANOID|M1_REGEN|M1_POIS,M2_LORD|M2_GIANT|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG,M3_INFRAVISIBLE,5,-,POISON=100|-,-,18,20,477,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,vampire mage,S_VAMPIRE,20,14,-4,50,-9,G_NOCORPSE|G_GENO|G_VLAD|1,"ATTK(AT_WEAP,AD_SPC1,2,8)","ATTK(AT_BITE,AD_SPC1,1,8)","ATTK(AT_MAGC,AD_SPEL,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1450,400,MS_VAMPIRE,MZ_MEDIUM,MR_SLEEP|MR_POISON|MR_PSYCHIC,,M1_FLY|M1_BREATHLESS|M1_HUMANOID|M1_REGEN|M1_POIS,M2_MERC|M2_GIANT|M2_MALE|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG|M2_MAGIC,M3_INFRAVISIBLE,12,-,POISON=100|-,-,26,26,731,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,Kas,S_VAMPIRE,26,16,-5,70,-10,G_NOCORPSE|G_NOGEN|G_UNIQ|0,"ATTK(AT_WEAP,AD_PHYS,4,4)","ATTK(AT_WEAP,AD_PHYS,4,4)","ATTK(AT_BITE,AD_SPC1,1,12)",NO_ATTK,NO_ATTK,NO_ATTK,1450,400,MS_VAMPIRE,MZ_MEDIUM,MR_SLEEP|MR_POISON,,M1_FLY|M1_BREATHLESS|M1_HUMANOID|M1_REGEN|M1_POIS,M2_NOPOLY|M2_LORD|M2_GIANT|M2_MALE|M2_PNAME|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG,M3_WAITFORU|M3_INFRAVISIBLE|M3_ACCURATE,0,-,POISON=100|-,-,30,31,998,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,Vlad the Impaler,S_VAMPIRE,28,26,-6,80,-10,G_NOCORPSE|G_NOGEN|G_UNIQ|0,"ATTK(AT_WEAP,AD_PHYS,2,10)","ATTK(AT_BITE,AD_SPC1,1,12)","ATTK(AT_MAGC,AD_SPEL,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,1450,400,MS_VAMPIRE,MZ_MEDIUM,MR_SLEEP|MR_POISON,,M1_FLY|M1_BREATHLESS|M1_HUMANOID|M1_REGEN|M1_POIS,M2_NOPOLY|M2_LORD|M2_GIANT|M2_MALE|M2_PNAME|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG,M3_WANTSCAND|M3_WAITFORU|M3_INFRAVISIBLE|M3_ACCURATE,13,-,POISON=100|-,-,32,34,1161,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,barrow wight,S_WRAITH,3,12,5,5,-3,G_NOCORPSE|G_GENO|1,"ATTK(AT_WEAP,AD_SPC1,0,0)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_TUCH,AD_COLD,1,4)","ATTK(AT_MAGC,AD_SPEL,0,0)",NO_ATTK,NO_ATTK,1200,0,MS_SPELL,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_POISON,,M1_BREATHLESS|M1_HUMANOID,M2_HOSTILE|M2_STALK|M2_COLLECT,,7,-,-,-,8,8,43,,M4_VULNERABLE_FIRE,MH_UNZOMBIE|MH_WRAITH,
,,,wraith,S_WRAITH,6,12,4,15,-6,G_GENO|2,"ATTK(AT_TUCH,AD_SPC1,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_HUMANOID|M1_UNSOLID,M2_HOSTILE|M2_STALK,,0,LEVELUP=100|-,-,-,8,8,52,,M4_VULNERABLE_FIRE,MH_UNZOMBIE|MH_WRAITH,
,,,Nazgul,S_WRAITH,17,12,-2,35,-17,G_NOCORPSE|1,"ATTK(AT_WEAP,AD_SPC1,1,10)","ATTK(AT_BREA,AD_SLEE,2,25)","ATTK(AT_SCRE,AD_LOUD,4,4)",NO_ATTK,NO_ATTK,NO_ATTK,1450,0,MS_SPELL,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_POISON,,M1_BREATHLESS|M1_HUMANOID|M1_SEE_INVIS,M2_NOPOLY|M2_MALE|M2_HOSTILE|M2_STALK|M2_STRONG|M2_COLLECT,M3_INFRAVISION|M3_ACCURATE,5,-,-,-,19,23,471,,M4_VULNERABLE_FIRE,MH_UNZOMBIE|MH_WRAITH,
,,,xorn,S_XORN,8,9,-2,20,0,G_GENO|1,"ATTK(AT_CLAW,AD_PHYS,1,3)","ATTK(AT_CLAW,AD_PHYS,1,3)","ATTK(AT_CLAW,AD_PHYS,1,3)","ATTK(AT_BITE,AD_PHYS,4,6)",NO_ATTK,NO_ATTK,1200,700,MS_ROAR,MZ_LARGE,MR_FIRE|MR_COLD|MR_STONE,MR_STONE,M1_WALLWALK|M1_BREATHLESS|M1_THICK_HIDE|M1_METALLIVORE,M2_HOSTILE|M2_STRONG,,3,-,-,-,11,11,91,MR_STONE=+13,,,
,,,monkey,S_YETI,2,12,6,0,0,G_GENO|1,"ATTK(AT_CLAW,AD_SITM,0,0)","ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,50,MS_GROWL,MZ_SMALL,,,M1_HUMANOID|M1_ANIMAL|M1_CARNIVORE|M1_HERBIVORE,,M3_INFRAVISIBLE,7,-,-,-,4,4,7,,,,
